Page,Index,Title,DOI,PDFLink,Downloaded
1,0,Studies on control electronics implementation of Single-phase Matrix converter operating as AC-DC Converter with active power filter,10.1109/PECON.2008.4762577,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4762577,1
1,1,CMOS Programmable Full-Wave Rectifier Using Current Conveyor Analogue Switches,10.1109/ICTKE47035.2019.8966844,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8966844,1
1,2,Investigation of Analog And Spase-Vector Pulse-Width Modulation In Three-Phase Current-Source Rectifiers,10.1109/KhPIWeek61412.2023.10312894,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10312894,1
1,3,Peripheral interface controller (PIC) based smart low power AC-DC converter,10.1109/ISIEA.2010.5679491,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5679491,1
1,4,A 44-Pulse AC-DC Converter Based on Hybrid of Multiphase and Phase Shifting Techniques,10.1109/ICPST.2008.4745194,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4745194,1
1,5,A Single-stage Three-phase Bidirectional AC-DC IPT Converter based on SWISS-Rectifier for EV Charging Applications,10.1109/IECON49645.2022.9968548,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9968548,1
1,6,Comparator-Based Digitally Controlled Power Factor Correction Rectifier Using Digital Ripple Injection,10.1109/ICECET61485.2024.10698020,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10698020,1
1,7,A General Method for Deciding the Input Filter Capacitance of Flyback Switching AC-DC Converter with Peak Current-Controlled Mode,10.1109/PEDS.2007.4487714,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4487714,1
1,8,A Dual-Output Wireless Power Transfer System With Active Rectifier and Three-Level Operation,10.1109/TPEL.2016.2601623,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7547959,1
1,9,A Single-Stage Current-Mode Active Rectifier with Accurate Output-Current Regulation for IoT,10.1109/ISCAS.2018.8351692,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8351692,1
1,10,A 40-Pulse AC--DC Converter Fed Vector-Controlled Induction Motor Drive,10.1109/TEC.2007.914359,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4459268,1
