Page,Index,Title,DOI,PDFLink,Downloaded
1,0,A compact low power ASK demodulator for passive UHF RFID tags,10.1109/EDSSC.2014.7061180,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7061180,1
1,1,A 272-GHz CMOS Analog BPSK/QPSK Demodulator for IEEE 802.15.3d,10.1109/ESSCIRC53450.2021.9567798,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9567798,1
1,2,An Integrated IQ Demodulator with Integrated Low-Power Multi-Gigabit BPSK / ASK Analog Signal Processor in 90nm CMOS,10.1109/EMICC.2008.4772248,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4772248,1
1,3,"Joint ADC-less Analog Demodulator and Decoder for Extended Binary (8, 4, 4) Hamming Channel Code",10.1109/ICCKE57176.2022.9960117,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9960117,1
1,4,An HF Passive RFID Tag IC With Low Modulation Index ASK Demodulator,10.1109/TIE.2018.2840514,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8370770,1
1,5,Asynchronous sigma-delta modulator and fast demodulator,10.1109/RADIOELEK.2015.7129003,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7129003,1
1,6,A GFSK demodulator for low-IF Bluetooth receiver,10.1109/JSSC.2003.814424,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1214733,1
1,7,A 170  $\mu\text{A}$ All-Digital GFSK Demodulator With Rejection of Low SNR Packets for Bluetooth-LE,10.1109/LMWC.2016.2562639,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7473940,1
1,8,Compressed sensing for frequency hopping communication signals via analog to information converter,10.1109/ICNIDC.2016.7974591,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7974591,1
1,9,An analog modulator/demodulator using a programmable arbitrary waveform generator,10.1109/ISCAS.2005.1466033,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1466033,1
1,10,A SiGe 7 Gbit/s analog BPSK/QPSK demodulator,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5587134,1
1,11,A Modulator/Demodulator CMOS IC for Chaotic Encryption of Audio,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5469301,1
1,12,An Analog Demodulation Scheme for Cross-QAM Constellations,10.1109/IST50524.2020.9345859,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9345859,1
1,13,A 34-pJ/bit Area-Efficient ASK Demodulator Based on Switching-Mode Signal Shaping,10.1109/TCSII.2016.2599262,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7539537,1
1,14,An ultra low power GFSK demodulator for wireless body area network,10.1109/ESSCIRC.2008.4681885,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4681885,1
1,15,An analog synchronous QPSK demodulator for ultra-high rate wireless communications,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5760738,1
1,16,A Novel Error Separation Technique for Quadrature Modulators and Demodulators,10.1109/RWS.2007.351893,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4160776,1
1,17,Experimental performance evaluation of error estimation and compensation technique for quadrature modulators and demodulators,10.1109/RWS.2008.4463449,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4463449,1
1,18,Analog-to-Information Converter Based on Off-the-Shelf Components and SoC-FPGA,10.1109/LASCAS.2019.8667546,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8667546,1
1,19,A Novel BPSK Demodulator for Biological Implants,10.1109/TCSI.2008.918174,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4447933,1
1,20,Reconstruction of Frequency Hopping Communication Signals via Analog to Information Converter,10.1109/ICISCE.2016.294,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7726391,1
1,21,Digital quadrature demodulator with four phases mixing for digital radio receivers,10.1109/TCSII.2003.820244,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1255686,1
1,22,Analog Quadrature Modulator and Coupling Circuit for Narrowband Power Line Communication,10.23919/MIXDES55591.2022.9837975,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9837975,1
1,23,Timer-based Demodulator for AM Square Signals coming from Sensor Circuits,10.1109/I2MTC.2019.8826994,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8826994,1
1,24,A VCO-free low-power fully digital BPSK demodulator for implantable biomedical microsystems,10.1109/ICECS.2017.8292052,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8292052,1
1,25,A system-on-package analog synchronous QPSK demodulator for ultra-high rate 60 GHz wireless communications,10.1109/MWSYM.2011.5972692,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5972692,1
1,26,An Analysis of an ASK Demodulator With Dual Self-Biased Separated Voltages for Implantable Applications,10.1109/TCSII.2024.3357212,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10411988,1
1,27,A digital demodulator based on the recursive Gauss-Newton method for electrical tomography,10.1109/IST.2014.6958446,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6958446,1
1,28,A high-data-rate low-power BPSK demodulator and clock recovery circuit for implantable biomedical devices,10.1109/NER.2009.5109319,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5109319,1
1,29,Rail-to-Rail Timer-Based Demodulator for AM Sensor Signals,10.1109/TIM.2018.2879127,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8536459,1
1,30,Dynamic Characteristics of the BPSK-GLSS Demodulator,10.1109/IEEECONF51389.2021.9416110,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9416110,1
1,31,Efficient Digital Implementation of Quadrature Demodulator for Radar Receivers,10.1109/CONECCT52877.2021.9622737,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9622737,1
1,32,Self-Injection-Locked AIA Radar Sensor Using PLL Demodulator for N oncontact Vital Sign Detection,10.1109/MWSYM.2018.8439357,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8439357,1
1,33,A DLL-based FSK demodulator for 5.8GHz DSRC/ETC RF receiver,10.1109/ISOCC.2012.6407053,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6407053,1
1,34,Design Procedure of RF Quadrature Modulators and Demodulators with Controllable Unbalance LO Path,10.1109/ElConRus54750.2022.9755493,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9755493,1
1,35,Phase Demodulator for the Measurement of Extrinsic Fabry-Perot Interferometric Sensors With Arbitrary Initial Cavity Length,10.1109/JSEN.2019.2961370,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8938767,1
1,36,Algorithm-Aware Digital Design for Analog-on-Top Chips: An ASK Demodulator Comparative Study,10.1109/SENSORS56945.2023.10325037,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10325037,1
1,37,Digital Recursive Demodulator Based on Kalman Filter,10.1109/TIM.2017.2735660,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8013758,1
1,38,Polarimetric Demodulator Based on a Seven-Port Network,10.1109/ARGENCON.2018.8646183,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8646183,1
1,39,Efficient realization of random demodulator-based analog to information converters,10.1109/BioCAS.2011.6107745,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6107745,1
1,40,A 0.93 pJ/bit Controlled Capacitor-Charge 2-bit Pulsewidth Demodulator in 45-nm RFSOI CMOS,10.1109/NEWCAS44328.2019.8961315,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8961315,1
1,41,Investigation of the QPSK-GLSS Demodulator using Phase Space Method,10.1109/IEEECONF51389.2021.9416093,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9416093,1
1,42,A 0.18-$\mu\hbox{m}$  CMOS GFSK Analog Front End Using a Bessel-Based Quadrature Discriminator With On-Chip Automatic Tuning,10.1109/TCSI.2009.2015728,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4785488,1
1,43,Polyphase Sliding Goertzel Demodulator for Continuous Phase Frequency Modulated Signals,10.1109/TASC.2009.2018768,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5067022,1
