Page,Index,Title,DOI,PDFLink,Downloaded
1,0,60-GHz SiGe BiCMOS dual-conversion down-converter: Schottky diode RF mixer and analog Gilbert IF mixer with microwave quadrature generator,10.1109/SIRF.2016.7445466,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7445466,1
1,1,A 3 GHz to 10 GHz GaAs double balanced mixer,10.1109/ITOEC.2017.8122521,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8122521,1
1,2,Analysis and Design of a Passive Sliding IF Mixer With a Novel Built-in Gainstep Mechanism for an Integrated 2.4 GHz RF-Receiver,10.1109/ICECS.2018.8618016,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8618016,1
1,3,Digital signal splitting among multiple DACs for analog bandwidth interleaving (ABI),10.1109/ICECS.2016.7841178,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7841178,1
1,4,A mixer-first receiver with a new transimpedance amplifier,10.1109/IAEAC.2017.8054034,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8054034,1
1,5,Low flicker noise and high linearity passive mixer in 0.18µm CMOS for direct conversion receiver,10.1109/PRIMEASIA.2009.5397458,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5397458,1
1,6,"A 100-3000MHz, up/ down-convert, +29dBm IIP3, 13dB NF, active mixer with integrated fractional-N PLL and VCO",10.1109/RFIC.2011.5940651,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5940651,1
1,7,High IIP3 and Low Power Upconversion Mixer Utilizing Backgate Input in 22nm FDSOI,10.1109/MWSCAS57524.2023.10405917,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10405917,1
1,8,A 0.1-23-GHz SiGe BiCMOS analog multiplier and mixer based on attenuation-compensation technique,10.1109/RFIC.2004.1320639,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1320639,1
1,9,A 2.4GHz CMOS Double Balanced Down Conversion Gilbert Cell Mixer Design Using 180nm Technology,10.1109/RTEICT42901.2018.9012334,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9012334,1
