Page,Index,Title,DOI,PDFLink,Downloaded
1,0,Photonic Digital-to-Analog Converter Based on Summing of Serial Weighted Multiwavelength Pulses,10.1109/LPT.2008.2007502,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4663594,1
1,1,Continuous-Time Sigma–Delta Modulator With an Embedded Pulsewidth Modulation,10.1109/TCSI.2008.919764,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4463803,1
1,2,Efficient Broadband Current-Mode Adder- Quantizer Design for Continuous-Time Sigma–Delta Modulators,10.1109/TVLSI.2014.2353058,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6909078,1
1,3,Nonlinear Distortion in a Silicon Microring-Based Electro-Optic Modulator for Analog Optical Links,10.1109/JSTQE.2009.2030154,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5357466,1
1,4,New Continuous-Time Multibit Sigma–Delta Modulators With Low Sensitivity to Clock Jitter,10.1109/TCSI.2008.922178,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4490314,1
1,5,A total solution of the CTV-based analog sensing circuits with delta-sigma modulator for CMOS micro-accelerometers,10.1109/IMTC.2010.5488301,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5488301,1
1,6,Low voltage analog digital converter using sigma-delta modulator,10.1109/SOCDC.2008.4815745,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4815745,1
1,7,Improvement of Photonic ADC Based on Phase-Shifted Optical Quantization by Using Additional Modulators,10.1109/LPT.2012.2183634,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6127902,1
1,8,Digital-to-analog conversion using electrooptic modulators,10.1109/LPT.2002.805844,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1159081,1
1,9,Photonic digital-to-analog conversion and digitally driven integrated optics modulator,10.1109/COMCAS.2011.6105814,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6105814,1
1,10,A Mixed-Loop CMOS Analog GFSK Modulator With Tunable Modulation Index,10.1109/TCSII.2007.891755,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4237375,1
1,11,A low-voltage low-power sigma-delta modulator for broadband analog-to-digital conversion,10.1109/JSSC.2005.852161,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1501984,1
