Page,Index,Title,DOI,PDFLink,Downloaded
1,0,An Integrated LC Oscillator with Self Compensation for Frequency Drift and PVT Corners Variations,10.1109/ICECS.2018.8618027,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8618027,1
1,1,Development of a Laboratory System for the Study of Discrete-Circuit Basic LC Oscillators,10.1109/ET59121.2023.10279645,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10279645,1
1,2,Optimization of LC voltage-controlled oscillators in 90-nm CMOS technology for 3G transceivers,10.1109/ELNANO.2013.6552040,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6552040,1
1,3,Satellite disciplined crystal oscillator system based on Kalman filter and PI algorithm,10.1109/ICIEA.2014.6931239,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6931239,1
1,4,Current reuse cross-coupling CMOS VCO using the center-tapped transformer in LC tank for digitally controlled oscillator,10.1109/RFIC.2008.4561497,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4561497,1
1,5,Estimation and adaptive control of the DC component of impulse sensitivity functions in CMOS LC oscillators,10.1109/RWS.2008.4463507,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4463507,1
1,6,Investigation and Comparison of Phase noise and FoM of LC VCO and QVCO of 60 GHz to that of a Distributed Oscillator of 30 GHz with a Doubler,10.1109/INDICON.2017.8487503,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8487503,1
1,7,A broadband CMOS LC voltage-controlled oscillator for FMCW synthesizer,10.1109/ISICIR.2014.7029499,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7029499,1
1,8,New Method for 100-MHz High-Frequency Temperature-Compensated Crystal Oscillator,10.1109/TUFFC.2020.3013664,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9154461,1
1,9,A 3 GHz CMOS Quadrature Oscillator Using Active Superharmonic Coupling,10.1109/EUMC.2007.4405392,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4405392,1
1,10,High-Performance Low-Cost Dual 15 GHz/30 GHz CMOS LC Voltage-Controlled Oscillator,10.1109/LMWC.2016.2597174,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7544561,1
1,11,A 6 GHz Digitally-Controlled Oscillator Achieving Minimum Fine Tuning Step Size of Up to 160 Hz Using Capacitive Degeneration Technique in 40 nm CMOS Process,10.1109/ICM56065.2022.10005329,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10005329,1
1,12,2.2 GHz LC VCO for RFID on a 0.5-μm digital gate-array designed for ultra-thin silicon substrates,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5760788,1
1,13,Sliding-Mode Amplitude Control Techniques for Harmonic Oscillators,10.1109/TCSII.2007.903793,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4358625,1
1,14,A wide tuning range voltage controlled ring oscillator using injection locking,10.1109/RISE.2017.8378192,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8378192,1
1,15,A VCO-Based ADC Using Ring Oscillator,10.1109/ICSCSS60660.2024.10624892,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10624892,1
1,16,A Low-Power Fast Settling 5.4—8.4 GHz Digitally Controlled Oscillator in 45 nm RFSOI CMOS,10.1109/MWSCAS48704.2020.9184569,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9184569,1
1,17,An All-Analog Method to Enhance Amplitude Stability in Pierce Crystal Oscillators,10.1109/TCSI.2011.2167270,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6044733,1
1,18,A technique to reduce flicker noise up-conversion in CMOS LC voltage-controlled oscillators,10.1109/ESSCIR.2004.1356633,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1356633,1
1,19,"Voltage-controlled narrowband and wide, variable-range four-segment quartz crystal oscillator",10.1109/TUFFC.2012.2230,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6174206,1
1,20,A Colpitts Oscillator Design for a GSM Base Station Synthesizer,10.1109/RFIC.2007.380911,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4266459,1
1,21,Voltage-controlled double-resonance quartz oscillator using variable-capacitance diode,10.1109/TUFFC.2012.2251,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6189180,1
1,22,A Cryogenic LC VCO Utilizing Cryogenic Models of Active Devices,10.1109/ICEEE2019.2019.00049,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8792561,1
1,23,A 1.5 GHz-1.8 GHz Voltage Controlled Oscillator for Passive LC Sensors Readout,10.1109/INFOTEH57020.2023.10094084,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10094084,1
1,24,A survey of voltage-controlled-oscillator-based ΔΣ ADCs,10.26599/TST.2021.9010037,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9614068,1
1,25,Triple-Band Transformer-Coupled LC Oscillator With Large Output Voltage Swing,10.1109/LMWC.2014.2316493,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6824873,1
