Page,Index,Title,DOI,PDFLink,Downloaded
1,0,High-Voltage Analog Switch Inspired by Stacked MOSFET-Based RF Switches,10.1109/TCSII.2023.3286328,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10153338,1
1,1,Arbitrary Shaped High-Voltage RF Switch,10.1109/TCSII.2023.3342072,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10354456,1
1,2,Design and analysis of a 70-ps SiGe differential RF switch,10.1109/TMTT.2005.850427,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1463363,1
1,3,A Dynamic GHz-Band Switching Technique for RF CMOS VCO,10.1109/SMIC.2007.322811,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4117378,1
1,4,λ/16 spaced ESPAR antenna using analog RF switches for single RF chain,,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7821526,1
1,5,Characterization and Modeling of RF GaN Switches Accounting for Trap-Induced Degradation Under Operating Regimes,10.1109/TMTT.2018.2857825,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8428529,1
1,6,An energy-efficient Vcm-based split capacitor switching scheme for high speed SAR ADCs,10.1109/APMC.2015.7413178,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7413178,1
1,7,Spur-Free Switch-Mode Power Supplies,10.1109/MWSCAS57524.2023.10405844,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10405844,1
1,8,Cost effective high voltage driver for large channel count optical MEMS switch applications,10.1109/ISCAS.2005.1465856,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1465856,1
1,9,Commercialization of a reliable RF MEMS switch with integrated driver circuitry in a miniature QFN package for RF instrumentation applications,10.1109/MWSYM.2015.7166959,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7166959,1
1,10,Reduction of signal distortion in SOA-based optical RF switches,10.1109/ICOCN.2015.7203743,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7203743,1
