Page,Index,Title,DOI,PDFLink,Downloaded
1,0,A Fast automatic frequency calibration (AFC) scheme for phase-locked loop (PLL) frequency synthesizer,10.1109/RFIC.2009.5135609,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5135609,1
1,1,Increasing Operation Speed of Frequency Synthesizers Using Nonlinear Control in Phase-Locked Loop System,10.1109/RSEMW52378.2021.9494078,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9494078,1
1,2,Development of High Isolation Ping-Pong DDS-PLL Based Frequency Synthesizer for Fast Frequency Hopping Applications,10.23919/APMC.2018.8617545,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8617545,1
1,3,A V Band Wideband Frequency Synthesizer Based on Hybrid Scheme of DDS and PLL,10.1109/ICMMT55580.2022.10023348,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10023348,1
1,4,Analysis of a PLL Based Frequency Synthesizer using Switched Loop Bandwidth for Mobile WiMAX,10.1109/RADIOELEK.2008.4542708,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4542708,1
1,5,Millimeter-Wave Frequency Agile Synthesizer based on PLL,10.1109/ICSSEM.2011.6081156,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6081156,1
1,6,Ultra-Low Phase Noise and Frequency Agile X-Band Frequency Synthesizer Based on a Phase Locked Optoelectronic Oscillator,10.1109/FCS.2019.8856046,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8856046,1
1,7,A fractional-N phase-locked loop synthesizer optimized for microwave Q-Meter application,10.23919/MIKON.2018.8405321,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8405321,1
1,8,A Digital S-Band Phase Locked Loop Based Frequency Synthesizer for On-Board Satellite Transmitter,10.1109/SCONEST.2005.4382885,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4382885,1
1,9,Fast-locking Integer/Fractional-N Hybrid PLL Frequency Synthesizer,10.1109/MWSCAS.2006.382152,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4267229,1
1,10,Noise Compensation Limits of a Linear Frequency Synthesizer Model with a PLL System with a Frequency Feedback Loop,10.1109/SYNCHROINFO61835.2024.10617560,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10617560,1
1,11,A 4.6–5.6 GHz constant KVCO low phase noise LC-VCO and an optimized automatic frequency calibrator applied in PLL frequency synthesizer,10.1109/IECON.2017.8217464,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8217464,1
1,12,Wide-band hybrid frequency synthesizer with improved noise performance,10.1109/MWENT.2018.8337224,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8337224,1
1,13,Optimal choice for phase margin on mm-Wave PLL frequency synthesizer for 5G wireless communications systems,10.1109/SDS.2018.8370447,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8370447,1
1,14,Reducing the level of spurious components in the phase-locked loop frequency synthesizer,10.1109/SINKHROINFO.2017.7997552,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7997552,1
