Page,Index,Title,DOI,PDFLink,Downloaded
1,0,A 0.2V-to-5V fully-integrated reconfigurable buck/boost switched-capacitor voltage regulator for self-powered wireless sensors,10.1109/DCIS.2017.8311640,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8311640,0
1,1,Automatic Voltage Regulator Design Using Particle Swarm Optimization Technique,10.1109/ICEE49691.2020.9249789,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9249789,0
1,2,Transformerless step up alternating voltage regulators with sinusoidal currents,10.1109/EDM.2012.6310252,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6310252,0
1,3,A Two-Stage Isolated High Step-Up Quasi-Resonant DC-DC Converter with Pre-Voltage Regulator,10.1109/IAS54023.2022.9939791,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9939791,0
1,4,Single-Phase AC-AC Zeta Converter-Based Automatic AC Voltage Regulator,10.1109/STPES54845.2022.10006612,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10006612,0
1,5,Transformerless Multichannel Step-up DC/DC Switching Voltage Regulator,10.1109/IEDS60447.2023.10426601,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10426601,0
1,6,Switching action delays in voltage regulator modules,10.1109/APEC.2002.989318,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=989318,0
1,7,A Fully Integrated 1 GHz 8A Imax Step-Down and Step-Up Switched Capacitor Voltage Regulator in 3 nm FinFET Technology Featuring Auto Mode Transition,10.1109/TCSI.2024.3374668,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10477169,0
1,8,Step-up AC Voltage Regulators with High-Frequency Link,10.1109/TPEL.2012.2197829,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6195022,0
1,9,Control of high-step down voltage converters for voltage regulator modules,10.1109/ICEEE.2011.6106696,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6106696,0
1,10,A continuous switching mode step-down switched-capacitor regulator with inrush current control scheme,10.1109/ISICIR.2016.7829697,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7829697,0
1,11,A family of novel interleaved DC/DC converters for low-voltage high-current voltage regulator module applications,10.1109/PESC.2001.954332,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=954332,0
1,12,Buck Boost Regulator (B2R) for spacecraft Solar Array Power conversion,10.1109/APEC.2010.5433399,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5433399,0
1,13,Switched-capacitor converter with low dropout voltage regulator for wireless sensor nodes,10.1109/TENCON.2012.6412294,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6412294,0
1,14,Fuzzy Logic Based Closed Loop Buck Boost AC-AC Automatic Voltage Regulator,10.1109/ICEET53442.2021.9659640,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9659640,0
1,15,"1.5 MHz, 300 mA step-down switching regulator",10.1109/SOCDC.2008.4815744,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4815744,0
1,16,Design of power supply for portable acoustic shock acquisition system,10.1109/ICALIP.2016.7846569,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7846569,0
1,17,"Automatic Transfer Switch for Critical Loads Between Renewables, Storage, Mains, or Generator",10.1109/TPEC60005.2024.10472269,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10472269,0
1,18,Series-stacked medium voltage electronic voltage regulator,10.1109/ECCE.2011.6063895,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6063895,0
1,19,TWO-STAGE VOLTAGE REGULATOR FED VOLTAGE CONTROL USING PIC MICRO CONTROLLER,10.1109/PECCON55017.2022.9851075,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9851075,0
1,20,The new three-phase AC voltage regulators with a small number of switches,10.1109/APEIE.2016.7806967,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7806967,0
1,21,An AC-to-AC converter based voltage regulator,10.1109/AFRCON.2002.1160002,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1160002,0
1,22,A Merged H-Bridge Based Switched Tank Converter for Front-End Voltage Regulator Modules,10.1109/ECCE47101.2021.9595976,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9595976,0
1,23,A novel high performance voltage regulator module,10.1109/APEC.2001.911657,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=911657,0
1,24,A Soft-Switched ZVS-ZCS Boost Converter Design and Analysis,10.1109/ICEPES60647.2024.10653601,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10653601,0
1,25,Microcontroller-based single-phase automatic voltage regulator,10.1109/ICCSIT.2010.5564979,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5564979,0
1,26,An integrated step-down DC-DC converter with low output voltage ripple,10.1109/ICIEA.2010.5514889,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5514889,0
1,27,Ultra-fast on-chip load-current adaptive linear regulator for switch mode power supply load transient enhancement,10.1109/APEC.2013.6520477,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6520477,0
1,28,New transformerless AC voltage regulators as devices to improve of power quality,10.1109/APEIE.2014.7040789,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7040789,0
1,29,Comparative Design of NMOS and PMOS Capacitor-less Low Dropout Voltage Regulators (LDOs) Suited for SoC Applications,10.1109/NRSC.2019.8734659,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8734659,0
1,30,Two-Zone Buck-Boost AC Voltage Regulator,10.1109/EDM61683.2024.10615039,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10615039,0
1,31,High Precision Modeling of Saturable Transformers used as Voltage Regulators,10.1109/ISIE.2006.296038,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4078814,0
1,32,Three dual switching power supplies modules,10.1109/SMICND.2008.4703418,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4703418,0
1,33,Analysis of Small-Switches AC Voltage Regulator with Switching Capacitors,10.1109/EDM49804.2020.9153479,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9153479,0
1,34,A single-stage resonant buck-boost ac voltage regulator,10.1109/ICPE.2015.7168151,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7168151,0
1,35,High-Speed ZVS-ZCS Soft-Switching CMOS Bridge Drivers for a DC-DC Fully Integrated Voltage Regulator (FIVR) operating at 100-320MHz on 22nm process node,10.1109/APEC.2019.8722229,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8722229,0
1,36,"Optimization of Single, Double and Triple Voltage Dc to Dc Step down Voltage Regulators",10.1109/ICECCT.2019.8869442,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8869442,0
1,37,The control unit of a single phase voltage regulator,10.1109/IECON.2010.5675034,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5675034,0
1,38,High performance voltage regulator for high step-down DC-DC conversion,10.1109/IECON.2008.4758049,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4758049,0
1,39,Sinusoidal internal model based control of a three-phase voltage source rectifier with buck-boost operation,10.1109/PEDS.2003.1283200,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1283200,0
1,40,A novel dynamic voltage regulator based upon AC chopper converter topology,10.1109/ICPEICES.2016.7853362,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7853362,0
1,41,Active Filter Based On-Chip Step-Down DC-DC Switching Voltage Regulator,10.1109/TENCON.2005.301014,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4085240,0
1,42,IGBT-SiC dual fed ground power unit,10.1109/ECCE.2017.8096894,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8096894,0
1,43,Research on the Novel Topology of On-Load Voltage Regulator Based on Power Electronic Converter,10.1109/SPIES55999.2022.10082505,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10082505,0
1,44,Interfacing of regulator and rectifier unit with solar charge controller for optimal utilization of solar power on railway coaches,10.1109/ICRERA.2016.7884430,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7884430,0
1,45,Analysis and Design of Mixed-Mode Operation for Noninverting Buck–Boost DC–DC Converters,10.1109/TCSII.2015.2469032,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7206556,0
1,46,Robust digital regulator for railway battery charging station,10.1109/EPE.2014.6839536,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6839536,0
1,47,A novel modular multilevel step-up DC/DC converter for offshore systems,10.1109/ISIE.2017.8001310,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8001310,0
1,48,Single-phase single-switch boost PFC regulator with low total harmonic distortion and feedforward input voltage,10.1109/PECON.2008.4762643,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4762643,0
1,49,Multilevel regulators for DC current based on structures with switching capacitors,10.1109/APEIE.2012.6629100,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6629100,0
1,50,Simulation Modeling of a Booster Transformer Operation in the Railway Traction Power Supply System,10.1109/ICIEAM60818.2024.10553917,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10553917,0
1,51,Multimode Smooth Switching Strategy for Eliminating the Operational Dead Zone in Noninverting Buck–Boost Converter,10.1109/TPEL.2019.2926767,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8755500,0
1,52,AC voltage regulator with per phase switches,10.1109/EDM.2017.7981800,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7981800,0
1,53,Robust control of a buck-boost DC-DC switching regulator for the electronic systems of next-generation cars,10.1109/IECON.2005.1568908,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1568908,0
1,54,Design and Implementation of Switching Power Supply for Wheeled Mobile Robot,10.1109/iCECE.2010.862,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5630808,0
1,55,Eight Switch Buck Boost Regulator topology for high efficiency in DC voltage regulation,10.1109/ICECE.2008.4769197,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4769197,0
1,56,Analysis and control of Buck-Boost Chopper type AC voltage regulator,10.1109/IPEMC.2009.5157570,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5157570,0
1,57,Analysis and control of Buck-Boost Chopper type AC voltage regulator,10.1109/IPEMC.2009.5157534,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5157534,0
1,58,Design of low cost programmable DC power supply unit,10.1109/CARE.2013.6733735,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6733735,0
1,59,An enhanced light-load efficiency step down regulator with fine step frequency scaling,10.1109/ISCAS.2016.7539149,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7539149,0
1,60,A Novel Capacitor Current Constant on-Time Controlled Buck Converter at 4-MHz Switching Frequency,10.1109/ECCE.2018.8557891,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8557891,0
1,61,Design of a wide-input-range DC-DC converter with switched-capacitor technique,10.1109/ICGCS.2010.5543009,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5543009,0
1,62,A low-power automatic supply multiplexer for reconfigurable step-up/down switching DC-DC converters,10.1109/MELCON.2016.7495443,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7495443,0
1,63,Buck-Boost and Ĉuk topology based single phase cycloconverters with low THD and high power factor,10.1109/ISGT-Asia.2012.6303193,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6303193,0
1,64,A continuous output current measurement circuit for switching step down DCDC regulator with a single sensing FET,10.1109/BEC.2012.6376816,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6376816,0
1,65,Design of 48 V Voltage regulator modules with a novel integrated magnetics,10.1109/TPEL.2002.805604,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1158989,0
