Page,Index,Title,DOI,PDFLink,Downloaded
1,0,A Novel 1.03 ppm/°C Wide-Temperature-Range Curvature-Compensated Bandgap Voltage Reference,10.1109/CIRSYSSIM.2018.8525967,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8525967,1
1,1,Curvature Compensated and Noise Optimized Bandgap Reference Circuit,10.1109/PACET60398.2024.10497029,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10497029,1
1,2,Design of a tunable temperature coefficient voltage reference with low-dropout voltage regulator in 180-nm CMOS technology,10.23919/MIPRO48935.2020.9245163,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9245163,1
1,3,A curvature compensated CMOS bandgap voltage reference for high precision applications,10.1109/ICASIC.2007.4415679,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4415679,1
1,4,Design of highly stable bandgap reference circuit for RF power harvester module of a 13.56 MHz smart card tag IC,10.1109/ISOCC.2017.8368919,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8368919,1
1,5,New Curvature-Compensation Technique for CMOS Bandgap Reference With Sub-1-V Operation,10.1109/TCSII.2006.876377,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1683977,1
1,6,Latest Concept to Generate Temperature Compensated Voltage Reference,10.1109/SMICND.2019.8923633,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8923633,1
1,7,A high-order temperature-compensated CMOS bandgap voltage reference,10.1109/ITOEC.2017.8122411,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8122411,1
1,8,A sub-1-ppm/°C curvature-compensated bandgap voltage reference,10.1109/ICAM.2016.7813567,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7813567,1
1,9,A High-order Curvature Compensated Bandgap Reference with 1.6ppm/°C Temperature Coefficient,10.1109/ECIE61885.2024.10626568,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10626568,1
1,10,A low-temperature-coefficient curvature-compensated bandgap reference with mismatch attenuation,10.1109/IDT.2015.7396734,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7396734,1
1,11,A wide input low quiescent current without operational amplifier bandgap reference circuit,10.1109/ICICM59499.2023.10365968,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10365968,1
1,12,A Sub-lppm/°C Wide-Temperature-Range Bandgap Voltage Reference with Superior-Order Temperature-Curvature Compensation,10.1109/ICSMD60522.2023.10490948,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10490948,1
1,13,Monte Carlo analysis of a 2nd-order curvature-compensated CMOS bandgap voltage reference,10.1109/EDSSC.2011.6117654,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6117654,1
1,14,An Improved Single-Temperature Trim Technique for 1st Order-Compensated Bandgap References,10.1109/MWSCAS57524.2023.10405982,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10405982,1
1,15,A Sub-1 ppm/°C CMOS Bandgap Voltage Reference With Process Tolerant Piecewise Second-Order Curvature Compensation,10.1109/SOCC49529.2020.9524787,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9524787,1
1,16,A low temperature coefficient 4th-order curvature-compensated CMOS bandgap reference,10.1109/AISMOT.2011.6159366,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6159366,1
1,17,Implementation of curvature compensated high precision bandgap reference circuit,10.1109/ICASID.2009.5277011,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5277011,1
1,18,Design of a low voltage high precision CMOS bandgap reference,10.1109/ICEMI.2009.5274562,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5274562,1
1,19,A CMOS bandgap and sub-bandgap voltage reference circuits for nanowatt power LSIs,10.1109/ASSCC.2010.5716561,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5716561,1
1,20,A 1.8-V 4.36-ppm/°C-TC bandgap reference with temperature variation calibration,10.1109/ISOCC.2013.6863997,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6863997,1
1,21,A new temperature-compensated CMOS bandgap reference circuit for portable applications,10.1109/ISCAS.2006.1692651,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1692651,1
1,22,A 1.8- V High-Precision Compensated CMOS Bandgap Reference,10.1109/EDSSC.2005.1635259,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1635259,1
1,23,Design of a radiation-hardened curvature compensated bandgap reference circuit,10.1109/PRIME.2016.7519555,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7519555,1
1,24,"A 113-nW, Sub-1 V Single BJT-Based Voltage and Current Reference in One Circuit",10.1109/MWSCAS60917.2024.10658828,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10658828,1
1,25,A 3.7ppm/°C piece-wise compensated bandgap reference,10.1109/ASICON.2017.8252529,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8252529,1
1,26,A second-order temperature compensated bandgap reference for analog -to -digital converter,10.1109/ICCDA.2010.5540853,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5540853,1
1,27,A Temperature Compensated Beta-Multiplier Based Sub-1 V Voltage Reference Circuit for Low-Voltage Applications,10.1109/DevIC57758.2023.10134955,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10134955,1
1,28,"A low power, offset compensated, CMOS only bandgap reference in 22 nm FD-SOI technology",10.1109/MOCAST.2018.8376639,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8376639,1
1,29,A Curvature Compensated CMOS Bandgap Voltage Reference With 6.8 ppm/°C Temperature Coefficient and Low Quiescent Current,10.1109/IICM60532.2023.10443157,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10443157,1
1,30,Temperature-Compensated $\beta$ -Multiplier Current Reference Circuit,10.1109/TCSII.2016.2634779,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7763843,1
1,31,A bandgap reference circuit with temperature compensation,10.1109/ICASID.2010.5551833,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5551833,1
1,32,A High-Precision Compensated CMOS Bandgap Voltage Reference Without Resistors,10.1109/TCSII.2010.2067770,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5601756,1
1,33,A precise method for compensating bandgap references over temperature,10.1109/CAS50358.2020.9268045,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9268045,1
1,34,A High PSRR Curvature Compensated Bandgap Voltage Reference for LDO,10.1109/ITOEC57671.2023.10291297,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10291297,1
1,35,A temperature-compensated bandgap voltage reference circuit for high precision applications,10.1109/INDICO.2004.1497820,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1497820,1
1,36,A 1.2-V 4.2- $\hbox{ppm}/^{\circ}\hbox{C}$ High-Order Curvature-Compensated CMOS Bandgap Reference,10.1109/TCSI.2014.2374832,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6999965,1
1,37,A 4.6-ppm/°C High-Order Curvature Compensated Bandgap Reference for BMIC,10.1109/TCSII.2018.2889808,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8588379,1
1,38,Resistorless self-biased curvature compensated sub-1V CMOS bandgap reference,10.1109/ICAEES.2016.7888059,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7888059,1
